STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,TOTAL ELECTORS,TOTAL VOTING,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY
Uttar Pradesh,Deoria,satender kumar mall,0,IND,Almirah,MALE,0.0,39.0,GENERAL,Post Graduate,"Rs 9,26,03,648~ 9 Crore+","Rs 2,85,00,000~ 2 Crore+",4149,9,4158,1877227,1033096,0.22,0.4
Uttar Pradesh,Deoria,muktinath singh,0,JNTSMTP,Ganna kisan,MALE,0.0,68.0,GENERAL,12th Pass,"Rs 88,35,000~ 88 Lacs+","Rs 5,00,000~ 5 Lacs+",3261,3,3264,1877227,1033096,0.17,0.32
Uttar Pradesh,Deoria,agamswaroop,0,RSMD,Scissors,MALE,0.0,61.0,GENERAL,Unknown,Unknown,Unknown,3180,2,3182,1877227,1033096,0.17,0.31
Uttar Pradesh,Deoria,rafik ansari,0,IND,Box,MALE,0.0,44.0,GENERAL,10th Pass,"Rs 1,18,380~ 1 Lacs+",Rs 0~,2687,1,2688,1877227,1033096,0.14,0.26
Uttar Pradesh,Bansgaon,kamlesh paswan,1,BJP,Lotus,MALE,9.0,47.0,SC,Graduate,Unknown,Unknown,427528,1165,428693,1825711,935742,23.48,45.81
Uttar Pradesh,Bansgaon,sadal prasad,0,INC,Hand,MALE,0.0,67.0,SC,Post Graduate,"Rs 1,18,19,450~ 1 Crore+",Rs 0~,423872,1671,425543,1825711,935742,23.31,45.48
Uttar Pradesh,Bansgaon,ramsamujh,0,BSP,Elephant,MALE,0.0,74.0,SC,Doctorate,"Rs 19,23,05,737~ 19 Crore+","Rs 2,33,84,964~ 2 Crore+",64567,183,64750,1825711,935742,3.55,6.92
Uttar Pradesh,Bansgaon,gaya prasad,0,IND,Balloon,MALE,1.0,52.0,SC,10th Pass,"Rs 17,66,450~ 17 Lacs+",Rs 0~,6629,9,6638,1825711,935742,0.36,0.71
Uttar Pradesh,Bansgaon,shrvan kumar nirala,0,IND,Gas cylinder,MALE,3.0,44.0,SC,12th Pass,"Rs 59,67,194~ 59 Lacs+",Rs 0~,4139,3,4142,1825711,935742,0.23,0.44
Uttar Pradesh,Bansgaon,heeralal,0,IND,Air conditioner,MALE,0.0,57.0,SC,Post Graduate,Unknown,Unknown,2597,0,2597,1825711,935742,0.14,0.28
Uttar Pradesh,Bansgaon,murli dhar,0,IND,Almirah,MALE,0.0,48.0,SC,Literate,"Rs 5,33,000~ 5 Lacs+",Rs 0~,1741,4,1745,1825711,935742,0.1,0.19
Uttar Pradesh,Bansgaon,rajendra chaudhari,0,IND,Cot,MALE,0.0,62.0,SC,Unknown,Unknown,Unknown,1629,5,1634,1825711,935742,0.09,0.17
Uttar Pradesh,Lalganj,daroga prasad saroj,1,SP,Bicycle,MALE,3.0,71.0,SC,Graduate,"Rs 5,38,76,725~ 5 Crore+",Rs 0~,437567,2392,439959,1841110,996344,23.9,44.16
Uttar Pradesh,Lalganj,neelam sonker,0,BJP,Lotus,FEMALE,2.0,48.0,SC,Post Graduate,"Rs 9,94,26,386~ 9 Crore+","Rs 88,00,000~ 88 Lacs+",324106,830,324936,1841110,996344,17.65,32.61
Uttar Pradesh,Lalganj,indu chaudhri,0,BSP,Elephant,FEMALE,0.0,44.0,SC,Doctorate,"Rs 72,58,114~ 72 Lacs+","Rs 19,15,218~ 19 Lacs+",209308,745,210053,1841110,996344,11.41,21.08
Uttar Pradesh,Lalganj,gangadeen,0,CPI,Ears of corn and sickle,MALE,0.0,51.0,SC,8th Pass,"Rs 27,30,000~ 27 Lacs+",Rs 0~,12263,8,12271,1841110,996344,0.67,1.23
Uttar Pradesh,Lalganj,balindar,0,JANKRPR,Hockey and ball,MALE,0.0,34.0,SC,Graduate Professional,Unknown,Unknown,4157,1,4158,1841110,996344,0.23,0.42
Uttar Pradesh,Lalganj,sushmita saroj,0,IND,Air conditioner,FEMALE,0.0,27.0,SC,Graduate,"Rs 2,75,281~ 2 Lacs+",Rs 0~,2621,5,2626,1841110,996344,0.14,0.26
Uttar Pradesh,Lalganj,ram pyare sharan vijaita,0,IND,Cot,MALE,0.0,61.0,SC,Post Graduate,"Rs 1,11,45,000~ 1 Crore+","Rs 19,83,176~ 19 Lacs+",2337,4,2341,1841110,996344,0.13,0.23
