STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,TOTAL ELECTORS,TOTAL VOTING,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY
Andhra Pradesh,Araku,gumma thanuja rani,1,YSRCP,Ceiling fan,FEMALE,0.0,31.0,ST,Graduate Professional,"Rs 23,54,678~ 23 Lacs+",Rs 0~,471470,5535,477005,1557153,1113975,30.63,42.82
Andhra Pradesh,Araku,kothapalli geetha,0,BJP,Lotus,FEMALE,2.0,53.0,ST,Post Graduate,Unknown,Unknown,417113,9312,426425,1557153,1113975,27.38,38.28
Andhra Pradesh,Araku,appalanarasa pachipenta,0,CPI(M),"Hammer, Sickle and Star",MALE,4.0,41.0,ST,Post Graduate,"Rs 29,25,792~ 29 Lacs+","Rs 2,43,125~ 2 Lacs+",119016,4113,123129,1557153,1113975,7.91,11.05
Andhra Pradesh,Araku,avashya lahari . varam,0,BSP,Elephant,FEMALE,0.0,30.0,ST,Graduate Professional,"Rs 53,90,634~ 53 Lacs+","Rs 16,27,956~ 16 Lacs+",24858,892,25750,1557153,1113975,1.65,2.31
Andhra Pradesh,Araku,samareddy balakrishna,0,IND,Gas cylinder,MALE,0.0,48.0,ST,Post Graduate,Unknown,Unknown,9493,42,9535,1557153,1113975,0.61,0.86
Andhra Pradesh,Araku,nimmaka jayaraju,0,IND,Bat,MALE,0.0,64.0,ST,12th Pass,"Rs 1,26,17,000~ 1 Crore+","Rs 32,28,000~ 32 Lacs+",8798,664,9462,1557153,1113975,0.61,0.85
Andhra Pradesh,Araku,athidhi,0,IND,Plate containing food,FEMALE,0.0,32.0,ST,Graduate,"Rs 20,43,321~ 20 Lacs+","Rs 17,93,245~ 17 Lacs+",8121,15,8136,1557153,1113975,0.52,0.73
Andhra Pradesh,Araku,chanti badnaina,0,JBNP,Battery Torch,MALE,0.0,28.0,ST,12th Pass,"Rs 1,80,000~ 1 Lacs+",Rs 0~,7205,47,7252,1557153,1113975,0.47,0.65
Andhra Pradesh,Araku,mottadam . rajababu,0,BHRTADVSIP,Hockey and ball,MALE,0.0,47.0,ST,Graduate Professional,Nil,Rs 0~,6370,396,6766,1557153,1113975,0.43,0.61
Andhra Pradesh,Araku,ranjith kumar palaka,0,IND,Biscuit,MALE,0.0,42.0,ST,Graduate,"Rs 35,000~ 35 Thou+",Rs 0~,6000,47,6047,1557153,1113975,0.39,0.54
Andhra Pradesh,Araku,mandala giridhara rao,0,IND,Belt,MALE,0.0,42.0,ST,Graduate Professional,"Rs 1,10,000~ 1 Lacs+",Rs 0~,4931,36,4967,1557153,1113975,0.32,0.45
Andhra Pradesh,Araku,rambabu jalli,0,TLRDSMTP,Rubber stamp,MALE,0.0,45.0,ST,10th Pass,"Rs 9,72,850~ 9 Lacs+",Rs 0~,4933,26,4959,1557153,1113975,0.32,0.45
Andhra Pradesh,Araku,vuyaka nireekshan (v. chenchu),0,IPBP,Trumpet,MALE,0.0,43.0,ST,10th Pass,"Rs 4,95,948~ 4 Lacs+",Rs 0~,4500,42,4542,1557153,1113975,0.29,0.41
Andhra Pradesh,Srikakulam,kinjarapu rammohan naidu,1,TDP,Bicycle,MALE,4.0,36.0,GENERAL,Post Graduate,"Rs 23,30,73,561~ 23 Crore+","Rs 2,98,63,859~ 2 Crore+",734501,19827,754328,1646686,1211081,45.81,62.29
Andhra Pradesh,Srikakulam,tilak perada,0,YSRCP,Ceiling fan,MALE,0.0,50.0,GENERAL,Graduate,"Rs 12,75,77,004~ 12 Crore+","Rs 1,08,02,798~ 1 Crore+",420394,6033,426427,1646686,1211081,25.9,35.21
Andhra Pradesh,Srikakulam,pedada parameswara rao,0,INC,Hand,MALE,1.0,59.0,GENERAL,Doctorate,Unknown,Unknown,6724,448,7172,1646686,1211081,0.44,0.59
Andhra Pradesh,Srikakulam,sanapala sravan kumar,0,IND,Bangles,MALE,0.0,38.0,GENERAL,Graduate,"Rs 5,42,91,939~ 5 Crore+","Rs 1,84,29,000~ 1 Crore+",5950,8,5958,1646686,1211081,0.36,0.49
Andhra Pradesh,Srikakulam,naidugari rajasekhar,0,BSP,Elephant,MALE,0.0,40.0,GENERAL,Post Graduate,"Rs 40,000~ 40 Thou+",Rs 0~,4661,81,4742,1646686,1211081,0.29,0.39
Andhra Pradesh,Srikakulam,vaba yogeswara rao,0,IND,Road roller,MALE,3.0,39.0,ST,10th Pass,"Rs 17,12,000~ 17 Lacs+","Rs 6,33,747~ 6 Lacs+",3472,126,3598,1646686,1211081,0.22,0.3
Andhra Pradesh,Srikakulam,betha vivekananda maharaj,0,IND,Matchbox,MALE,0.0,38.0,GENERAL,Graduate,Unknown,Unknown,2523,13,2536,1646686,1211081,0.15,0.21
Andhra Pradesh,Srikakulam,yeddu lakshminarayana,0,IND,Sewing machine,MALE,0.0,66.0,GENERAL,5th Pass,"Rs 8,30,000~ 8 Lacs+","Rs 2,30,000~ 2 Lacs+",1598,7,1605,1646686,1211081,0.1,0.13
Andhra Pradesh,Srikakulam,borubadra chandrakala,0,BCYP,Ganna kisan,FEMALE,0.0,37.0,GENERAL,Post Graduate,"Rs 95,08,000~ 95 Lacs+","Rs 32,58,800~ 32 Lacs+",1315,42,1357,1646686,1211081,0.08,0.11
Andhra Pradesh,Srikakulam,ippili seetharaju,0,JBNP,Battery Torch,MALE,0.0,47.0,GENERAL,Post Graduate,"Rs 44,60,000~ 44 Lacs+","Rs 7,98,810~ 7 Lacs+",1080,50,1130,1646686,1211081,0.07,0.09
Andhra Pradesh,Srikakulam,kaya durgarao,0,NRCP,Bucket,MALE,0.0,34.0,SC,8th Pass,"Rs 5,79,500~ 5 Lacs+",Rs 0~,811,7,818,1646686,1211081,0.05,0.07
Andhra Pradesh,Srikakulam,chelluri daniyal,0,IND,Scissors,MALE,0.0,49.0,SC,Post Graduate,"Rs 12,84,100~ 12 Lacs+","Rs 2,68,471~ 2 Lacs+",796,20,816,1646686,1211081,0.05,0.07
Andhra Pradesh,Srikakulam,bommali tirupati rao,0,PPOI,Flute,MALE,0.0,29.0,GENERAL,Others,Unknown,Unknown,589,5,594,1646686,1211081,0.04,0.05
Andhra Pradesh,Vizianagaram,appalanaidu kalisetti,1,TDP,Bicycle,MALE,0.0,50.0,GENERAL,Graduate Professional,Unknown,Unknown,729284,13829,743113,1590994,1275992,46.71,58.24
Andhra Pradesh,Vizianagaram,bellana chandrasekhar,0,YSRCP,Ceiling fan,MALE,5.0,62.0,GENERAL,Graduate Professional,"Rs 2,20,00,775~ 2 Crore+","Rs 98,52,470~ 98 Lacs+",487691,6071,493762,1590994,1275992,31.03,38.7
Andhra Pradesh,Vizianagaram,bobbili srinu,0,INC,Hand,MALE,0.0,33.0,GENERAL,Graduate,"Rs 1,89,91,100~ 1 Crore+","Rs 38,20,000~ 38 Lacs+",10270,353,10623,1590994,1275992,0.67,0.83
Andhra Pradesh,Vizianagaram,peerubandi prakash rao,0,BSP,Elephant,MALE,0.0,69.0,SC,Graduate Professional,"Rs 50,50,000~ 50 Lacs+","Rs 5,00,000~ 5 Lacs+",7985,53,8038,1590994,1275992,0.51,0.63
Andhra Pradesh,Vizianagaram,veluri venkata trinadharao,0,IND,Sitar,MALE,0.0,58.0,GENERAL,Graduate,Nil,Rs 0~,4146,6,4152,1590994,1275992,0.26,0.33
Andhra Pradesh,Vizianagaram,allu sriramulu,0,IND,Baby walker,MALE,0.0,48.0,GENERAL,8th Pass,"Rs 1,25,000~ 1 Lacs+",Rs 0~,3396,5,3401,1590994,1275992,0.21,0.27
Andhra Pradesh,Vizianagaram,siyyadula yella rao,0,IND,Telephone,MALE,0.0,42.0,SC,12th Pass,"Rs 3,78,000~ 3 Lacs+",Rs 0~,3105,2,3107,1590994,1275992,0.2,0.24
Andhra Pradesh,Vizianagaram,srinivasa rao sambhana (vasu),0,YGATLSIP,Road roller,MALE,0.0,45.0,GENERAL,Unknown,Unknown,Unknown,1758,3,1761,1590994,1275992,0.11,0.14
Andhra Pradesh,Vizianagaram,mariserla krishnamurthy naidu,0,IND,Pot,MALE,0.0,50.0,GENERAL,Others,"Rs 1,58,40,000~ 1 Crore+","Rs 28,07,000~ 28 Lacs+",1617,12,1629,1590994,1275992,0.1,0.13
Andhra Pradesh,Vizianagaram,vangapandu maheswara rao,0,NBBHNRSVP,Television,MALE,0.0,37.0,GENERAL,Graduate,"Rs 15,000~ 15 Thou+",Rs 0~,1544,9,1553,1590994,1275992,0.1,0.12
Andhra Pradesh,Vizianagaram,chinnam aruna kumar,0,JRBP,Coat,MALE,0.0,46.0,SC,Post Graduate,Unknown,Unknown,1401,10,1411,1590994,1275992,0.09,0.11
Andhra Pradesh,Vizianagaram,atchiyya naidu samireddy,0,SP,Bicycle pump,MALE,0.0,55.0,GENERAL,12th Pass,"Rs 84,70,863~ 84 Lacs+","Rs 7,28,770~ 7 Lacs+",1059,11,1070,1590994,1275992,0.07,0.08
Andhra Pradesh,Vizianagaram,adinarayana taddi,0,IND,Belt,MALE,0.0,61.0,GENERAL,8th Pass,"Rs 1,25,000~ 1 Lacs+",Rs 0~,855,1,856,1590994,1275992,0.05,0.07
Andhra Pradesh,Vizianagaram,p v a ananda sagar,0,IND,Cot,MALE,0.0,60.0,GENERAL,8th Pass,"Rs 34,91,600~ 34 Lacs+",Rs 0~,787,4,791,1590994,1275992,0.05,0.06
Andhra Pradesh,Vizianagaram,sakhineti anantha raju,0,PPOI,Flute,MALE,0.0,50.0,GENERAL,5th Pass,"Rs 44,35,500~ 44 Lacs+","Rs 5,23,000~ 5 Lacs+",715,10,725,1590994,1275992,0.05,0.06
Andhra Pradesh,Visakhapatnam,sribharat mathukumili,1,TDP,Bicycle,MALE,2.0,35.0,GENERAL,Post Graduate,Unknown,Unknown,893884,13583,907467,1931398,1381812,46.98,65.67
Andhra Pradesh,Visakhapatnam,jhansi lakshmi. botcha.,0,YSRCP,Ceiling fan,FEMALE,0.0,61.0,GENERAL,Unknown,Unknown,Unknown,397821,5399,403220,1931398,1381812,20.88,29.18
Andhra Pradesh,Visakhapatnam,p. satya reddy,0,INC,Hand,MALE,0.0,52.0,GENERAL,10th Pass,"Rs 59,39,092~ 59 Lacs+","Rs 10,00,000~ 10 Lacs+",29430,837,30267,1931398,1381812,1.57,2.19
Andhra Pradesh,Visakhapatnam,k.a. paul,0,PRSHP,Pot,MALE,6.0,60.0,GENERAL,12th Pass,"Rs 1,96,071~ 1 Lacs+",Rs 0~,7529,167,7696,1931398,1381812,0.4,0.56
Andhra Pradesh,Visakhapatnam,pedapenki siva prasada rao,0,BSP,Elephant,MALE,0.0,57.0,GENERAL,Graduate Professional,"Rs 1,87,37,804~ 1 Crore+","Rs 28,95,429~ 28 Lacs+",6006,85,6091,1931398,1381812,0.32,0.44
Andhra Pradesh,Visakhapatnam,bikkavolu. chalamaji,0,NRCP,Bucket,MALE,0.0,43.0,GENERAL,Unknown,Unknown,Unknown,4883,1,4884,1931398,1381812,0.25,0.35
Andhra Pradesh,Visakhapatnam,v.n. satya narayana,0,RPC(S),Ring,MALE,0.0,44.0,GENERAL,10th Pass,Unknown,Unknown,2534,3,2537,1931398,1381812,0.13,0.18
Andhra Pradesh,Visakhapatnam,aruna sri murala,0,IND,Mixee,FEMALE,0.0,53.0,GENERAL,12th Pass,Unknown,Unknown,1991,2,1993,1931398,1381812,0.1,0.14
Andhra Pradesh,Visakhapatnam,vasupilli suresh,0,IND,Lighter,MALE,0.0,54.0,GENERAL,Graduate,Nil,Rs 0~,1931,2,1933,1931398,1381812,0.1,0.14
Andhra Pradesh,Visakhapatnam,sondi krishna.,0,IND,Basket containing Fruits,MALE,0.0,52.0,SC,Unknown,Unknown,Unknown,1811,7,1818,1931398,1381812,0.09,0.13
Andhra Pradesh,Visakhapatnam,andukuri vijaya bhaskar,0,IPBP,Trumpet,MALE,0.0,55.0,GENERAL,Graduate Professional,"Rs 1,44,443~ 1 Lacs+",Rs 0~,1098,11,1109,1931398,1381812,0.06,0.08
Andhra Pradesh,Visakhapatnam,dr. ganapathi kongarapu.,0,RPI(A),Diamond,MALE,0.0,42.0,SC,Unknown,Unknown,Unknown,944,6,950,1931398,1381812,0.05,0.07
Andhra Pradesh,Visakhapatnam,banna. ramesh,0,DABAP,Gas cylinder,MALE,0.0,49.0,SC,Unknown,Unknown,Unknown,941,7,948,1931398,1381812,0.05,0.07
Andhra Pradesh,Visakhapatnam,p. satya vani,0,PPOI,Flute,FEMALE,0.0,53.0,GENERAL,Post Graduate,"Rs 2,75,10,244~ 2 Crore+",Rs 0~,875,7,882,1931398,1381812,0.05,0.06
Andhra Pradesh,Visakhapatnam,durga prasad. guntu,0,BRRTD,Computer,MALE,0.0,57.0,GENERAL,Unknown,Unknown,Unknown,760,7,767,1931398,1381812,0.04,0.06
Andhra Pradesh,Visakhapatnam,chappidi ramu,0,IND,Room cooler,MALE,0.0,49.0,SC,Post Graduate,Unknown,Unknown,756,1,757,1931398,1381812,0.04,0.05
Andhra Pradesh,Visakhapatnam,m.g.m. khan,0,IND,Pen nib with seven rays,MALE,0.0,37.0,GENERAL,Graduate Professional,"Rs 1,49,80,904~ 1 Crore+",Rs 0~,738,4,742,1931398,1381812,0.04,0.05
Andhra Pradesh,Visakhapatnam,shankar devara yadav,0,IND,Scissors,MALE,0.0,26.0,GENERAL,12th Pass,"Rs 1,50,000~ 1 Lacs+",Rs 0~,656,5,661,1931398,1381812,0.03,0.05
Andhra Pradesh,Visakhapatnam,venu madhav karri,0,IND,Ship,MALE,0.0,48.0,GENERAL,5th Pass,"Rs 3,23,366~ 3 Lacs+","Rs 4,08,463~ 4 Lacs+",646,1,647,1931398,1381812,0.03,0.05
Andhra Pradesh,Visakhapatnam,dr. achutha balaji yadav (murapala),0,BCYP,Ganna kisan,MALE,0.0,39.0,GENERAL,Graduate Professional,"Rs 1,42,05,289~ 1 Crore+","Rs 33,73,982~ 33 Lacs+",628,10,638,1931398,1381812,0.03,0.05
Andhra Pradesh,Visakhapatnam,thota venkata sai mukund,0,PRJPP,Boat with man and sail,MALE,0.0,29.0,GENERAL,Unknown,Unknown,Unknown,628,5,633,1931398,1381812,0.03,0.05
Andhra Pradesh,Visakhapatnam,pididhi apparao,0,IND,Sewing machine,MALE,0.0,44.0,SC,10th Pass,"Rs 25,98,800~ 25 Lacs+","Rs 3,00,000~ 3 Lacs+",576,4,580,1931398,1381812,0.03,0.04
Andhra Pradesh,Visakhapatnam,g.a.n. anand,0,IND,Bat,MALE,0.0,38.0,GENERAL,Graduate,"Rs 2,000~ 2 Thou+",Rs 0~,543,0,543,1931398,1381812,0.03,0.04
Andhra Pradesh,Visakhapatnam,vaddi. hari ganesh,0,IND,CCTV Camera,MALE,0.0,42.0,GENERAL,Unknown,Unknown,Unknown,518,2,520,1931398,1381812,0.03,0.04
Andhra Pradesh,Visakhapatnam,janardhan ponnada.,0,IND,Funnel,MALE,0.0,31.0,SC,Unknown,Unknown,Unknown,499,1,500,1931398,1381812,0.03,0.04
Andhra Pradesh,Visakhapatnam,ganapathi. jagadeeswara rao (jagadeesh),0,JMBP,Whistle,MALE,0.0,49.0,GENERAL,Post Graduate,"Rs 17,36,804~ 17 Lacs+",Rs 0~,494,6,500,1931398,1381812,0.03,0.04
Andhra Pradesh,Visakhapatnam,jaladi vijaya kumari,0,SP,Bicycle pump,FEMALE,0.0,52.0,SC,Doctorate,"Rs 27,23,960~ 27 Lacs+","Rs 5,40,580~ 5 Lacs+",463,3,466,1931398,1381812,0.02,0.03
Andhra Pradesh,Visakhapatnam,chintada suryam,0,NBBHNRSVP,Television,MALE,0.0,56.0,SC,Illiterate,"Rs 13,500~ 13 Thou+",Rs 0~,443,5,448,1931398,1381812,0.02,0.03
Andhra Pradesh,Visakhapatnam,gandikota rajesh,0,NavaP,Mike,MALE,0.0,43.0,GENERAL,Graduate,"Rs 6,90,000~ 6 Lacs+",Rs 0~,392,1,393,1931398,1381812,0.02,0.03
Andhra Pradesh,Visakhapatnam,kolli naga raju,0,IND,Biscuit,MALE,0.0,38.0,SC,Unknown,Unknown,Unknown,322,7,329,1931398,1381812,0.02,0.02
Andhra Pradesh,Visakhapatnam,metta rama rao,0,IND,Cot,MALE,0.0,58.0,GENERAL,Post Graduate,"Rs 11,28,50,440~ 11 Crore+","Rs 34,61,278~ 34 Lacs+",320,6,326,1931398,1381812,0.02,0.02
Andhra Pradesh,Visakhapatnam,lagudu. govinda rao,0,IND,Pressure cooker,MALE,0.0,44.0,GENERAL,Unknown,Unknown,Unknown,293,1,294,1931398,1381812,0.02,0.02
Andhra Pradesh,Visakhapatnam,malla sravani,0,IND,Bench,FEMALE,0.0,51.0,GENERAL,5th Pass,Unknown,Unknown,271,2,273,1931398,1381812,0.01,0.02
Andhra Pradesh,Anakapalle,c.m.ramesh,1,BJP,Lotus,MALE,5.0,58.0,GENERAL,12th Pass,"Rs 4,97,60,24,996~ 497 Crore+","Rs 1,01,61,83,515~ 101 Crore+",750027,12042,762069,1601365,1299097,47.59,58.66
Andhra Pradesh,Anakapalle,budi mutyala naidu,0,YSRCP,Ceiling fan,MALE,0.0,60.0,GENERAL,10th Pass,"Rs 7,39,92,295~ 7 Crore+","Rs 1,77,19,071~ 1 Crore+",459762,5777,465539,1601365,1299097,29.07,35.84
Andhra Pradesh,Anakapalle,vegi venkatesh,0,INC,Hand,MALE,1.0,50.0,GENERAL,Post Graduate,"Rs 2,35,96,732~ 2 Crore+","Rs 96,04,000~ 96 Lacs+",24833,818,25651,1601365,1299097,1.6,1.97
Andhra Pradesh,Anakapalle,palaka sreerama murthy,0,BSP,Elephant,MALE,0.0,54.0,GENERAL,Doctorate,"Rs 78,987~ 78 Thou+",Rs 0~,19082,75,19157,1601365,1299097,1.2,1.47
Andhra Pradesh,Anakapalle,vankayala ramachandra rao,0,IND,Air conditioner,MALE,0.0,70.0,GENERAL,12th Pass,"Rs 50,000~ 50 Thou+",Rs 0~,4001,1,4002,1601365,1299097,0.25,0.31
Andhra Pradesh,Anakapalle,lovaraju siddha,0,IND,Telephone,MALE,0.0,36.0,GENERAL,Post Graduate,Unknown,Unknown,3845,7,3852,1601365,1299097,0.24,0.3
Andhra Pradesh,Anakapalle,krishna swaroop vadlamuri,0,DABAP,Gas cylinder,MALE,0.0,50.0,SC,Post Graduate,Unknown,Unknown,3549,8,3557,1601365,1299097,0.22,0.27
Andhra Pradesh,Anakapalle,gara surya rao,0,IND,Slate,MALE,0.0,70.0,SC,Post Graduate,"Rs 81,50,000~ 81 Lacs+",Rs 0~,3116,8,3124,1601365,1299097,0.2,0.24
Andhra Pradesh,Anakapalle,appala raju nammi,0,BCYP,Ganna kisan,MALE,3.0,54.0,GENERAL,5th Pass,"Rs 4,78,10,500~ 4 Crore+","Rs 86,00,000~ 86 Lacs+",2589,30,2619,1601365,1299097,0.16,0.2
Andhra Pradesh,Anakapalle,nageswara rao petla,0,IND,Lighter,MALE,0.0,60.0,SC,10th Pass,"Rs 20,000~ 20 Thou+",Rs 0~,2179,5,2184,1601365,1299097,0.14,0.17
Andhra Pradesh,Anakapalle,adari sarat chandra,0,JBNP,Battery Torch,MALE,0.0,39.0,GENERAL,Post Graduate,"Rs 2,76,000~ 2 Lacs+","Rs 1,10,000~ 1 Lacs+",1886,27,1913,1601365,1299097,0.12,0.15
Andhra Pradesh,Anakapalle,vijaya lakshmi karri,0,PPOI,Flute,FEMALE,0.0,43.0,GENERAL,Graduate,"Rs 77,65,000~ 77 Lacs+","Rs 5,24,000~ 5 Lacs+",1578,13,1591,1601365,1299097,0.1,0.12
Andhra Pradesh,Anakapalle,dr. thummapala hari shankar,0,IND,Mike,MALE,0.0,35.0,GENERAL,Post Graduate,"Rs 78,54,500~ 78 Lacs+","Rs 11,00,000~ 11 Lacs+",1567,9,1576,1601365,1299097,0.1,0.12
Andhra Pradesh,Anakapalle,junnuri j srinivas,0,IND,Bat,MALE,0.0,54.0,GENERAL,Post Graduate,"Rs 5,63,40,957~ 5 Crore+","Rs 59,00,000~ 59 Lacs+",1195,6,1201,1601365,1299097,0.07,0.09
Andhra Pradesh,Anakapalle,appalanaidu tummagunta,0,IND,Cot,MALE,0.0,42.0,GENERAL,Graduate,"Rs 38,10,350~ 38 Lacs+","Rs 25,22,737~ 25 Lacs+",1055,7,1062,1601365,1299097,0.07,0.08
Andhra Pradesh,Kakinada,tangella uday srinivas (tea time uday),1,JnP,Glass tumbler,MALE,1.0,38.0,GENERAL,12th Pass,"Rs 31,15,35,620~ 31 Crore+","Rs 3,62,10,120~ 3 Crore+",718971,10728,729699,1634921,1312583,44.63,55.59
Andhra Pradesh,Kakinada,chalamalasetty sunil,0,YSRCP,Ceiling fan,MALE,0.0,54.0,GENERAL,Post Graduate,"Rs 1,49,99,62,589~ 149 Crore+","Rs 6,82,39,876~ 6 Crore+",495188,5020,500208,1634921,1312583,30.6,38.11
Andhra Pradesh,Kakinada,mallipudi mangapati pallam raju,0,INC,Hand,MALE,0.0,56.0,GENERAL,Post Graduate,"Rs 28,19,77,369~ 28 Crore+",Rs 0~,20258,851,21109,1634921,1312583,1.29,1.61
Andhra Pradesh,Kakinada,uday,0,NRCP,Bucket,MALE,0.0,41.0,GENERAL,Others,"Rs 5,86,500~ 5 Lacs+",Rs 0~,15578,125,15703,1634921,1312583,0.96,1.2
Andhra Pradesh,Kakinada,kandregula narasimham,0,BSP,Elephant,MALE,0.0,55.0,GENERAL,Graduate Professional,"Rs 25,000~ 25 Thou+","Rs 2,00,000~ 2 Lacs+",11916,63,11979,1634921,1312583,0.73,0.91
Andhra Pradesh,Kakinada,dr anusha yadav,0,BCYP,Ganna kisan,FEMALE,0.0,25.0,GENERAL,Graduate,Unknown,Unknown,9818,36,9854,1634921,1312583,0.6,0.75
Andhra Pradesh,Kakinada,tangella srinivasu,0,JJSP,Pen stand,MALE,0.0,32.0,GENERAL,Graduate,Unknown,Unknown,6516,43,6559,1634921,1312583,0.4,0.5
Andhra Pradesh,Kakinada,yedida vara prasad kumar,0,RPI(A),Ship,MALE,0.0,55.0,SC,12th Pass,Unknown,Unknown,3924,3,3927,1634921,1312583,0.24,0.3
Andhra Pradesh,Kakinada,bugatha bangarrao,0,CPI(ML)(L),Flag with three stars,MALE,3.0,63.0,GENERAL,10th Pass,"Rs 42,10,000~ 42 Lacs+","Rs 9,80,000~ 9 Lacs+",2816,7,2823,1634921,1312583,0.17,0.22
Andhra Pradesh,Kakinada,sudha veera ganesh,0,IND,CCTV Camera,MALE,0.0,33.0,GENERAL,10th Pass,Unknown,Unknown,2645,2,2647,1634921,1312583,0.16,0.2
Andhra Pradesh,Kakinada,bhavani sankar prasad merla,0,IND,Pressure cooker,MALE,1.0,64.0,GENERAL,5th Pass,"Rs 2,37,90,000~ 2 Crore+","Rs 6,00,000~ 6 Lacs+",1963,6,1969,1634921,1312583,0.12,0.15
Andhra Pradesh,Kakinada,yenugupalli krishna,0,JRBP,Coat,MALE,4.0,44.0,SC,Graduate,"Rs 67,60,715~ 67 Lacs+","Rs 32,25,113~ 32 Lacs+",1762,18,1780,1634921,1312583,0.11,0.14
Andhra Pradesh,Kakinada,boddeti apparao,0,IND,Diamond,MALE,0.0,31.0,GENERAL,10th Pass,Unknown,Unknown,1687,0,1687,1634921,1312583,0.1,0.13
Andhra Pradesh,Kakinada,neelakantam donam,0,IND,Ring,MALE,0.0,52.0,SC,Post Graduate,Unknown,Unknown,1401,11,1412,1634921,1312583,0.09,0.11
Andhra Pradesh,Kakinada,pasupuleti s.v.s.bhushanam,0,IND,Matchbox,MALE,0.0,53.0,GENERAL,Post Graduate,"Rs 74,26,166~ 74 Lacs+","Rs 3,48,102~ 3 Lacs+",1222,5,1227,1634921,1312583,0.08,0.09
Andhra Pradesh,Amalapuram,g m harish (balayogi),1,TDP,Bicycle,MALE,0.0,33.0,SC,Graduate Professional,"Rs 10,53,89,128~ 10 Crore+","Rs 1,99,712~ 1 Lacs+",786149,10832,796981,1532229,1287588,52.01,61.9
Andhra Pradesh,Amalapuram,rapaka varaprasada rao,0,YSRCP,Ceiling fan,MALE,2.0,65.0,SC,10th Pass,"Rs 2,47,25,608~ 2 Crore+","Rs 29,87,883~ 29 Lacs+",450362,4423,454785,1532229,1287588,29.68,35.32
Andhra Pradesh,Amalapuram,goutham janga,0,INC,Hand,MALE,0.0,54.0,SC,Unknown,Unknown,Unknown,14523,559,15082,1532229,1287588,0.98,1.17
Andhra Pradesh,Amalapuram,dorababu yalla,0,BSP,Elephant,MALE,0.0,59.0,SC,Graduate Professional,"Rs 50,17,200~ 50 Lacs+","Rs 6,00,000~ 6 Lacs+",5202,186,5388,1532229,1287588,0.35,0.42
Andhra Pradesh,Amalapuram,katru naga babu,0,TLGUNGP,Diamond,MALE,0.0,30.0,SC,Post Graduate,"Rs 1,76,000~ 1 Lacs+",Rs 0~,3736,5,3741,1532229,1287588,0.24,0.29
Andhra Pradesh,Amalapuram,vaddi lalith kumar,0,IND,Bucket,MALE,0.0,64.0,SC,Post Graduate,Unknown,Unknown,2974,3,2977,1532229,1287588,0.19,0.23
Andhra Pradesh,Amalapuram,makey davy prasad,0,IND,Whistle,MALE,0.0,71.0,SC,Unknown,Unknown,Unknown,2104,7,2111,1532229,1287588,0.14,0.16
Andhra Pradesh,Amalapuram,gude venkateswarulu,0,IND,Coconut farm,MALE,0.0,51.0,SC,Unknown,Unknown,Unknown,1741,4,1745,1532229,1287588,0.11,0.14
Andhra Pradesh,Amalapuram,ramesh jillella,0,JJSP,Pen stand,MALE,0.0,28.0,SC,Unknown,Unknown,Unknown,866,6,872,1532229,1287588,0.06,0.07
Andhra Pradesh,Amalapuram,yalangi ramesh,0,JRBP,Coat,MALE,0.0,61.0,SC,Post Graduate,"Rs 22,95,000~ 22 Lacs+",Rs 0~,738,2,740,1532229,1287588,0.05,0.06
Andhra Pradesh,Amalapuram,giddi jnana prakasa rao,0,RPI,Apple,MALE,0.0,62.0,SC,Unknown,Unknown,Unknown,717,9,726,1532229,1287588,0.05,0.06
Andhra Pradesh,Amalapuram,matha krishna,0,PPOI,Television,MALE,0.0,39.0,SC,Unknown,Unknown,Unknown,718,1,719,1532229,1287588,0.05,0.06
Andhra Pradesh,Amalapuram,yadla rajesh,0,LBCP,Well,MALE,1.0,32.0,SC,Others,"Rs 5,25,000~ 5 Lacs+","Rs 8,80,000~ 8 Lacs+",628,7,635,1532229,1287588,0.04,0.05
Andhra Pradesh,Amalapuram,kapa kalyan,0,RPPRINAT,Jackfruit,MALE,0.0,47.0,SC,Post Graduate,"Rs 6,20,000~ 6 Lacs+",Rs 0~,579,2,581,1532229,1287588,0.04,0.05
Andhra Pradesh,Amalapuram,pathuri ramesh,0,PPID,Air conditioner,MALE,0.0,39.0,SC,10th Pass,"Rs 57,40,000~ 57 Lacs+","Rs 1,25,000~ 1 Lacs+",502,3,505,1532229,1287588,0.03,0.04
Andhra Pradesh,Rajahmundry,daggubati purandheshwari,1,BJP,Lotus,FEMALE,1.0,67.0,GENERAL,Graduate,"Rs 62,50,41,146~ 62 Crore+","Rs 6,98,60,440~ 6 Crore+",718641,7874,726515,1623852,1300862,44.74,55.85
Andhra Pradesh,Rajahmundry,dr. guduri srinivas,0,YSRCP,Ceiling fan,MALE,0.0,60.0,GENERAL,Doctorate,"Rs 16,45,68,281~ 16 Crore+","Rs 1,26,94,933~ 1 Crore+",483172,4204,487376,1623852,1300862,30.01,37.47
