Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities
2014,88,7120,"Abdul Rahman, R.",PERAMBALUR,IND,0,10th Pass,"Rs 81,65,500~ 81 Lacs+","Rs 3,40,000~ 3 Lacs+"
2014,89,8603,Abdul Rashid Sheikh,BARAMULLA,IND,0,Graduate,"Rs 23,01,000~ 23 Lacs+","Rs 8,83,000~ 8 Lacs+"
2014,90,6811,Abdul Rashid Tantray,SRINAGAR,IND,0,10th Pass,,
2014,91,4141,Abdul Safiq Khan,RAIPUR,IND,0,10th Pass,"Rs 5,82,300~ 5 Lacs+",Rs 0~
2014,92,8301,Abdul Salam,GARHWAL,IND,0,Illiterate,"Rs 21,70,500~ 21 Lacs+",Rs 0~
2014,93,1212,Abdul Salam N U,KASARAGOD,SDPI,1,Post Graduate,"Rs 36,20,329~ 36 Lacs+","Rs 11,82,188~ 11 Lacs+"
2014,94,6973,"Abdul Salam, A.",COIMBATORE,IND,0,5th Pass,"Rs 17,68,600~ 17 Lacs+","Rs 7,00,000~ 7 Lacs+"
2014,95,990,Abdul Sami Salmani,NORTH EAST DELHI,BSP,0,Others,,
2014,96,3921,Abdul Tahir (bablu - Advocate),BHOPAL,IND,0,Graduate Professional,"Rs 25,73,572~ 25 Lacs+","Rs 1,600~ 1 Thou+"
2014,97,1540,Abdul Wafati Ansari Urf Yuvraj Tailors,REWA,Samata Party,0,10th Pass,"Rs 11,31,000~ 11 Lacs+","Rs 12,00,000~ 12 Lacs+"
2014,98,9451,Abdul Waheed Shaik,GUNTUR,INC,0,10th Pass,"Rs 76,54,500~ 76 Lacs+","Rs 70,00,000~ 70 Lacs+"
2014,99,4290,Abdul Wahid I,SALEM,IND,0,Post Graduate,"Rs 1,800~ 1 Thou+",Rs 0~
2014,100,4110,Abdur Rahaman,KATIHAR,Bharatiya Momin Front,0,12th Pass,,
