Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State
2024,6839,5675,Savitri Devi,MISRIKH,Rashtriya Janshakti Samaj Party,0,12th Pass,"Rs 82,731~ 82 Thou+",Rs 0~,,Uttar Pradesh
2024,6840,6296,Savitri Devi,KHUNTI,BSP,0,12th Pass,,,,Jharkhand
2024,6841,5162,Savitri Thakur,DHAR,BJP,0,12th Pass,"Rs 5,31,07,546~ 5 Crore+","Rs 69,63,601~ 69 Lacs+",,Madhya Pradesh
2024,6842,7458,Sawale Dattatray Sitaram,THANE,IND,0,8th Pass,"Rs 20,000~ 20 Thou+",Rs 0~,,Maharashtra
2024,6843,8603,Sawami Agnivesh,KARNAL,IND,0,5th Pass,"Rs 26,60,202~ 26 Lacs+",Rs 0~,,Haryana
2024,6844,4918,Sawant Rahul Shashikant,MADHA,IND,2,10th Pass,"Rs 91,19,000~ 91 Lacs+",Rs 0~,,Maharashtra
2024,6845,8439,Sawatantar Singh Chauhan,FARIDABAD,Jan Shakti Dal,0,Post Graduate,,,,Haryana
2024,6846,4657,Sayaji Ganpat Waghmare,SATARA,Bahujan Republican Socialist Party,0,Graduate Professional,"Rs 1,64,25,858~ 1 Crore+",Rs 0~,,Maharashtra
2024,6847,7916,Sayan Banerjee,TAMLUK,CPI(M),0,Graduate Professional,"Rs 1,43,37,127~ 1 Crore+","Rs 6,66,785~ 6 Lacs+",,West Bengal
2024,6848,9062,Sayani Ghosh,JADAVPUR,AITC,1,12th Pass,"Rs 91,89,462~ 91 Lacs+","Rs 59,85,716~ 59 Lacs+",,West Bengal
2024,6849,4145,Sayed Irshad,RAIPUR,IND,0,10th Pass,"Rs 1,79,700~ 1 Lacs+",Rs 0~,,Chhattisgarh
2024,6850,3242,Sayed Irshad Ali Sayyed Layakh Ali,PARBHANI,Social Democratic Party Of India,0,8th Pass,,,,Maharashtra
2024,6851,7829,Sayed Zulfiqar Alam,MUMBAI NORTH,Bahujan Maha Party,1,5th Pass,"Rs 22,60,000~ 22 Lacs+",Rs 0~,,Maharashtra
2024,6852,6322,Sayim Mustafa,SRINAGAR,IND,0,Post Graduate,"Rs 2,00,000~ 2 Lacs+",Rs 0~,,Jammu and Kashmir
2024,6853,3227,Sayyd Abdul Sattar Ajij,PARBHANI,IND,0,5th Pass,"Rs 2,50,000~ 2 Lacs+",Rs 0~,,Maharashtra
2024,6854,9343,Sebastion Hembrom,RAJMAHAL,IND,0,Others,"Rs 1,64,53,613~ 1 Crore+",Rs 0~,,Jharkhand
2024,6855,8689,Seema,BHIWANI-MAHENDRAGARH,IND,0,Graduate,,,,Haryana
2024,6856,8197,Seema Rizvi,CHANDNI CHOWK,Azad Samaj Party,1,8th Pass,"Rs 77,000~ 77 Thou+",Rs 0~,,NCT OF Delhi
2024,6857,3726,Seema Sharma,VIDISHA,Sapaks Party,0,Post Graduate,"Rs 31,34,700~ 31 Lacs+",Rs 0~,,Madhya Pradesh
2024,6858,4656,Seema Sunil Potdar,SATARA,IND,0,8th Pass,"Rs 46,23,000~ 46 Lacs+",Rs 0~,,Maharashtra
2024,6859,8984,Sefali Dey,BARASAT,Bharatiya Nyay-Adhikar Raksha Party,0,5th Pass,"Rs 13,59,000~ 13 Lacs+",Rs 0~,,West Bengal
2024,6860,7663,Seikh Sakirul Islam,HOWRAH,IND,2,10th Pass,,,,West Bengal
2024,6861,1287,Sekar A,SIVAGANGA,IND,1,10th Pass,"Rs 20,45,000~ 20 Lacs+","Rs 10,00,000~ 10 Lacs+",,Tamil Nadu
2024,6862,104,Sekar P,CHENNAI SOUTH,Thakkam Katchi,0,Graduate Professional,"Rs 68,11,164~ 68 Lacs+","Rs 4,11,140~ 4 Lacs+",,Tamil Nadu
2024,6863,782,Sekar S,VIRUDHUNAGAR,Hindu Samaj Party,0,8th Pass,"Rs 4,20,000~ 4 Lacs+",Rs 0~,,Tamil Nadu
2024,6864,9421,Sekha Sadika Hosen,KENDRAPARA,BSP,0,Graduate,"Rs 13,03,974~ 13 Lacs+","Rs 5,50,000~ 5 Lacs+",,Odisha
2024,6865,8546,Selja,SIRSA,INC,0,Post Graduate,,,,Haryana
2024,6866,1496,Selva Kumar S,TIRUNELVELI,Bahujan Dravida Party,0,Graduate Professional,"Rs 50,000~ 50 Thou+",Rs 0~,,Tamil Nadu
2024,6867,176,Selvaganapathi T M,SALEM,DMK,1,Post Graduate,"Rs 75,40,21,976~ 75 Crore+","Rs 26,14,56,676~ 26 Crore+",,Tamil Nadu
2024,6868,767,Selvakumar M,VIRUDHUNAGAR,IND,0,5th Pass,"Rs 50,347~ 50 Thou+",Rs 0~,,Tamil Nadu
