Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State,Gender
2024,4778,6412,narayan sukhadev pal,KHANDWA,Bharatiya Yuva Jan Ekta Party,0,Post Graduate,"Rs 1,52,000~ 1 Lacs+",Rs 0~,,Madhya Pradesh,Male
2024,4779,4928,narayan tatoba kalel,MADHA,IND,0,Post Graduate,"Rs 95,63,706~ 95 Lacs+","Rs 12,00,000~ 12 Lacs+",,Maharashtra,Male
2024,4780,4619,narayan tatu rane,RATNAGIRI - SINDHUDURG,BJP,7,10th Pass,,,,Maharashtra,Male
2024,4781,3198,narayan tripathi,SATNA,BSP,0,Post Graduate,"Rs 97,09,528~ 97 Lacs+","Rs 67,00,000~ 67 Lacs+",,Madhya Pradesh,Male
2024,4782,53,narayan tukaram choudhari,NAGPUR,SUCI(C),0,12th Pass,"Rs 16,81,767~ 16 Lacs+",Rs 0~,,Maharashtra,Male
2024,4783,2282,narayana kumar,KANNUR,IND,0,10th Pass,"Rs 2,76,648~ 2 Lacs+",Rs 0~,,Kerala,Male
2024,4784,189,narayanasamy v t,THENI,AIADMK,0,Others,"Rs 35,53,44,137~ 35 Crore+","Rs 2,09,32,296~ 2 Crore+",,Tamil Nadu,Male
2024,4785,4543,narayanbhai liladharji raval,BHARUCH,IND,0,Others,,,,Gujarat,Male
2024,4786,8941,nardev singh bobby mann,FIROZPUR,SAD,1,12th Pass,"Rs 9,44,19,766~ 9 Crore+","Rs 1,05,14,000~ 1 Crore+",,Punjab,Male
2024,4787,8853,narender kumar,MANDI,Rashtriya Devbhumi Party,1,Others,"Rs 1,20,85,000~ 1 Crore+","Rs 32,00,000~ 32 Lacs+",,Himachal Pradesh,Male
2024,4788,415,narender sharma,JAIPUR,Rashtriya Sanatan Party,0,12th Pass,"Rs 6,15,54,100~ 6 Crore+","Rs 1,10,481~ 1 Lacs+",,Rajasthan,Male
2024,4789,3319,narendra babulal kathane,AMRAVATI,Desh Janhit Party,0,12th Pass,"Rs 1,17,000~ 1 Lacs+","Rs 40,000~ 40 Thou+",,Maharashtra,Male
2024,4790,267,narendra burka,BASTAR,Hamar Raj Party,0,Doctorate,,,,Chhattisgarh,Male
2024,4791,3335,narendra dagdu khedekar,BULDHANA,ShivSena (Uddhav Balasaheb Thackeray),1,Graduate Professional,"Rs 4,47,40,087~ 4 Crore+",Rs 0~,,Maharashtra,Male
2024,4792,6066,narendra dnyaneshwar pawtekar,PUNE,IND,0,Graduate,"Rs 4,20,000~ 4 Lacs+",Rs 0~,,Maharashtra,Male
2024,4793,6309,narendra giri,UJIARPUR,IND,0,Graduate,"Rs 1,00,57,111~ 1 Crore+",Rs 0~,,Bihar,Male
2024,4794,7610,narendra kumar,KAUSHAMBI,Apna Dal (Kamerawadi),0,Graduate Professional,"Rs 12,29,070~ 12 Lacs+",Rs 0~,,Uttar Pradesh,Male
2024,4795,1236,narendra kumar. g,KARUR,IND,0,Graduate Professional,,,,Tamil Nadu,Male
2024,4796,9613,narendra malika,JAJPUR,IND,0,8th Pass,"Rs 5,23,227~ 5 Lacs+","Rs 67,210~ 67 Thou+",,Odisha,Male
2024,4797,7697,narendra mishra,MUMBAI NORTH - CENTRAL,IND,0,Graduate,"Rs 5,52,892~ 5 Lacs+",Rs 0~,,Maharashtra,Male
2024,4798,8974,narendra modi,VARANASI,BJP,0,Post Graduate,"Rs 3,02,06,889~ 3 Crore+",Rs 0~,,Uttar Pradesh,Male
2024,4799,7442,narendra pandey,KAISERGANJ,BSP,0,12th Pass,"Rs 4,29,42,782~ 4 Crore+","Rs 23,00,000~ 23 Lacs+",,Uttar Pradesh,Male
2024,4800,5068,narendra patel,KHANDWA,INC,1,10th Pass,,,,Madhya Pradesh,Male
2024,4801,2494,narendra singh,AMROHA,IND,0,8th Pass,"Rs 2,12,406~ 2 Lacs+","Rs 51,040~ 51 Thou+",,Uttar Pradesh,Male
2024,4802,5416,narendraa vemula,BHONGIR,Jai Swaraj Party,1,12th Pass,"Rs 89,25,000~ 89 Lacs+","Rs 7,50,000~ 7 Lacs+",,Telangana,Male
2024,4803,1401,narendranath,ERODE,IND,0,Others,"Rs 12,13,560~ 12 Lacs+","Rs 1,00,000~ 1 Lacs+",,Tamil Nadu,Male
2024,4804,7987,narendranath ray,BISHNUPUR,IND,0,8th Pass,"Rs 26,579~ 26 Thou+","Rs 2,17,000~ 2 Lacs+",,West Bengal,Male
2024,4805,859,naresh bharathi. s,KANCHEEPURAM,IND,0,Graduate Professional,,,,Tamil Nadu,Male
2024,4806,7595,naresh chandra uttam patel,FATEHPUR,SP,0,Post Graduate,"Rs 4,93,48,208~ 4 Crore+",Rs 0~,,Uttar Pradesh,Male
2024,4807,9195,naresh dhingaan,LUDHIANA,IND,0,10th Pass,"Rs 16,48,048~ 16 Lacs+",Rs 0~,,Punjab,Male
2024,4808,7462,naresh ganpat mhaske,THANE,Shiv Sena,2,12th Pass,"Rs 26,26,02,215~ 26 Crore+","Rs 4,60,63,890~ 4 Crore+",,Maharashtra,Male
2024,4809,6362,naresh hianla,KALAHANDI,IND,0,10th Pass,"Rs 6,00,000~ 6 Lacs+",Rs 0~,,Odisha,Male
2024,4810,5954,naresh janagama,PEDDAPALLE,IND,0,Post Graduate,,,,Telangana,Male
2024,4811,2925,naresh kandara,JODHPUR,IND,0,10th Pass,"Rs 3,31,615~ 3 Lacs+",Rs 0~,,Rajasthan,Male
2024,4812,8677,naresh kashyap,SONIPAT,Aam Aadmi Parivartan Party,0,Graduate,"Rs 26,023~ 26 Thou+",Rs 0~,,Haryana,Male
2024,4813,8282,naresh kumar,NORTH WEST DELHI,IND,0,Others,"Rs 7,72,251~ 7 Lacs+",Rs 0~,,Delhi,Male
2024,4814,8626,naresh kumar,KURUKSHETRA,Samata Party,0,12th Pass,"Rs 1,91,06,500~ 1 Crore+","Rs 10,96,451~ 10 Lacs+",,Haryana,Male
2024,4815,8269,naresh kumar,NORTH WEST DELHI,Rashtriya Samaj Paksha,0,10th Pass,,,,Delhi,Male
2024,4816,9594,naresh kumar,JAHANABAD,IND,0,Graduate Professional,"Rs 32,51,000~ 32 Lacs+",Rs 0~,,Bihar,Male
2024,4817,3001,naresh kumar chib,JAMMU,Jammu & Kashmir National Panthers Party (Bhim),0,Graduate,"Rs 1,96,84,000~ 1 Crore+","Rs 6,50,000~ 6 Lacs+",,Jammu and Kashmir,Male
2024,4818,2605,naresh kumar priyadarshi,BANKA,IND,0,Post Graduate,"Rs 19,87,437~ 19 Lacs+",Rs 0~,,Bihar,Male
2024,4819,3000,naresh kumar talla,JAMMU,IND,0,10th Pass,"Rs 40,59,800~ 40 Lacs+",Rs 0~,,Jammu and Kashmir,Male
2024,4820,2508,naresh nautiyal,GAUTAM BUDDHA NAGAR,Bhartiya Rashtriya Jansatta,1,Graduate,,,,Uttar Pradesh,Male
2024,4821,4496,naresh pal,MALDAHA UTTAR,Jan Sangh Party,0,10th Pass,"Rs 7,51,552~ 7 Lacs+",Rs 0~,,West Bengal,Male
2024,4822,8064,naresh ram,VAISHALI,SUCI(C),0,12th Pass,"Rs 39,644~ 39 Thou+",Rs 0~,,Bihar,Male
2024,4823,5509,naresh reddy,MAHBUBNAGAR,Telangana Jaghir Party,0,10th Pass,"Rs 10,26,000~ 10 Lacs+",Rs 0~,,Telangana,Male
2024,4824,6466,naresh singh bhadauriya,KHERI,IND,1,Graduate Professional,"Rs 1,97,90,000~ 1 Crore+","Rs 2,00,000~ 2 Lacs+",,Uttar Pradesh,Male
2024,4825,2603,naresh yadav,BANKA,IND,0,8th Pass,,,,Bihar,Male
2024,4826,4243,nareshbhai naranbhai rathod,BHAVNAGAR,IND,0,8th Pass,"Rs 80,527~ 80 Thou+",Rs 0~,,Gujarat,Male
2024,4827,9133,narinder kaur,AMRITSAR,Aam Janta Party (India),0,Post Graduate,"Rs 62,18,503~ 62 Lacs+",Rs 0~,,Punjab,Female
2024,4828,6998,narmada praveen,WARANGAL,Pyramid Party of India,0,Post Graduate,"Rs 20,000~ 20 Thou+",Rs 0~,,Telangana,Female
2024,4829,2770,narottam saha,BALURGHAT,IND,0,Graduate,"Rs 10,59,397~ 10 Lacs+",Rs 0~,,West Bengal,Male
2024,4830,5522,narra sukhender reddy,MALKAJGIRI,Vidhyarthula Rajakiya Party,0,Post Graduate,,,,Telangana,Male
2024,4831,7058,narri. swamy kuruma,BHONGIR,IND,1,Post Graduate,"Rs 63,02,500~ 63 Lacs+","Rs 8,00,000~ 8 Lacs+",,Telangana,Male
2024,4832,6415,narsingh solanki,KHARGONE,IND,0,12th Pass,"Rs 38,500~ 38 Thou+",Rs 0~,,Madhya Pradesh,Male
2024,4833,4895,narsingrao udgirkar,LATUR,Vanchit Bahujan Aaghadi,1,Post Graduate,"Rs 1,83,14,960~ 1 Crore+","Rs 23,85,000~ 23 Lacs+",,Maharashtra,Male
2024,4834,3147,naseef ali mullappalli,MALAPPURAM,IND,0,12th Pass,"Rs 69,58,084~ 69 Lacs+",Rs 0~,,Kerala,Male
