tweet_id,created_at,user_id,text,clean_text,hashtags,mentions,language,retweet_count,like_count,sentiment,polarity,subjectivity,party,state
1881264622109675955,2025-01-20 08:56:52+00:00,1864915184713654272,"Congress MP Rakesh Rathore's Shocking Call Recording Leaked! 🚨
Congress MP Rakesh Rathore faces serious allegations of sexual exploitation, with a leaked call recording where he allegedly promises marriage to the woman.

An FIR has been filed, but UP police have yet to verify… https://t.co/mWfJz8iT46 https://t.co/nYLcC0nDtj","congress mp rakesh rathores shocking call recording leaked 
congress mp rakesh rathore faces serious allegations of sexual exploitation with a leaked call recording where he allegedly promises marriage to the woman

an fir has been filed but up police have yet to verify  ",[],[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264615830732921,2025-01-20 08:56:51+00:00,15177152,"@andrewbogut @elonmusk @Jason @chamath @DavidSacks @friedberg @joerogan You don’t have to dig very hard @andrewbogut to see why.

AAP whom has to big $$ contract with Meta and Google - is headed up by Lisa Davies. Lifetime left wing journo. Her buddies at Google Aust are just as echo chambered.

DEI’s to the max, unbiased to the lax.

Just grifters. https://t.co/9khWtYZAGc","       you dont have to dig very hard  to see why

aap whom has to big  contract with meta and google  is headed up by lisa davies lifetime left wing journo her buddies at google aust are just as echo chambered

deis to the max unbiased to the lax

just grifters ",[],"['andrewbogut', 'elonmusk', 'Jason', 'chamath', 'DavidSacks', 'friedberg', 'joerogan', 'andrewbogut']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264609988124754,2025-01-20 08:56:49+00:00,1829828092019236864,"@Politicx2029 AAP: 30
BJP: 30
Congress: 10
😁

https://t.co/732fIj3bsW"," aap 30
bjp 30
congress 10


",[],['Politicx2029'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264599393284478,2025-01-20 08:56:47+00:00,1459720679624830977,@gupta_rekha @narendramodi @AmitShah @JPNadda @VanathiBJP @PandaJay @BJP4India @BJP4Delhi @praveendel @Virend_Sachdeva @alka_gurjar Leadership aur commitment BJP ka integral part hai.,           leadership aur commitment bjp ka integral part hai,[],"['gupta_rekha', 'narendramodi', 'AmitShah', 'JPNadda', 'VanathiBJP', 'PandaJay', 'BJP4India', 'BJP4Delhi', 'praveendel', 'Virend_Sachdeva', 'alka_gurjar']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264599120679054,2025-01-20 08:56:47+00:00,1262758101188374530,"@_iamblakeley @zei_squirrel Zuckerburg, the ADL and AIPAC. 

Congress are cracking down on anything pro-Palestinian on behalf of their owners.","  zuckerburg the adl and aipac 

congress are cracking down on anything propalestinian on behalf of their owners",[],"['_iamblakeley', 'zei_squirrel']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264596733833353,2025-01-20 08:56:46+00:00,1428187748469383176,"As part of the ongoing Sangthan Parv (Organisational Elections), the following karyakartas have been elected as the District Presidents of BJP Tripura with immediate effect.

I heartily congratulate them and wish them all success in strenthening the Organisation at the grassroots https://t.co/kND4roI2Nu","as part of the ongoing sangthan parv organisational elections the following karyakartas have been elected as the district presidents of bjp tripura with immediate effect

i heartily congratulate them and wish them all success in strenthening the organisation at the grassroots ",[],[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264592812384625,2025-01-20 08:56:45+00:00,1821829985612787715,"@DushyantNaagar @RahulGandhi Is this a newly occurring phenomenon only from 2014 ?

What Pew does in their research as suggestive and deepening divide is not hidden.

To use Pew research on automation is laughable. 

What congress does to use caste, religion, reservation and to destroy unity is known.","  is this a newly occurring phenomenon only from 2014 

what pew does in their research as suggestive and deepening divide is not hidden

to use pew research on automation is laughable 

what congress does to use caste religion reservation and to destroy unity is known",[],"['DushyantNaagar', 'RahulGandhi']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264585040347206,2025-01-20 08:56:43+00:00,100699109,@JPNadda @narendramodi BJP has moved away from its principles on freebies. Sankalpa Patra in Delhi - not good for economy and disappointing due to freebees.,  bjp has moved away from its principles on freebies sankalpa patra in delhi  not good for economy and disappointing due to freebees,[],"['JPNadda', 'narendramodi']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264570268066260,2025-01-20 08:56:40+00:00,1881263209178673152,"10 years of BJP rule, yet NCERT textbooks still glorify invaders who attacked India while sidelining our heroes who defended the nation. Where are the chapters on Maharana Pratap, Rani Lakshmibai, and Shivaji? It’s time to rewrite our history with pride. #RewriteNCERTHistory https://t.co/8C19dEQGV0",10 years of bjp rule yet ncert textbooks still glorify invaders who attacked india while sidelining our heroes who defended the nation where are the chapters on maharana pratap rani lakshmibai and shivaji its time to rewrite our history with pride rewritencerthistory ,['RewriteNCERTHistory'],[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264566375748031,2025-01-20 08:56:39+00:00,1353370880,@NidaKirmani @nimspspsps They dont see it because this country is for more fair and just to minorities than any place on earth. People from Nigeria or East asia or India can Congress here and make more than white people. Its just than people get made mentally ill/delusional when they go to college in usa,  they dont see it because this country is for more fair and just to minorities than any place on earth people from nigeria or east asia or india can congress here and make more than white people its just than people get made mentally illdelusional when they go to college in usa,[],"['NidaKirmani', 'nimspspsps']",en,0,0,Unknown,0,0,Unknown,Unknown
