iter	Passed	Remaining
403	6659	9825
404	6673	9804
405	6689	9787
406	6704	9768
407	6720	9751
408	6736	9734
409	6750	9713
410	6765	9695
411	6780	9676
412	6794	9656
413	6809	9637
414	6824	9619
415	6840	9602
416	6855	9584
417	6870	9566
418	6884	9546
419	6897	9525
420	6913	9507
421	6928	9489
422	6944	9472
423	6958	9453
424	6974	9436
425	6990	9419
426	7006	9401
427	7021	9383
428	7037	9366
429	7052	9349
430	7067	9330
431	7082	9312
432	7097	9293
433	7110	9272
434	7126	9255
435	7142	9239
436	7157	9221
437	7172	9202
438	7186	9183
439	7200	9164
440	7215	9146
441	7231	9129
442	7247	9112
443	7263	9095
444	7278	9077
445	7291	9057
446	7305	9037
447	7362	9071
448	7383	9060
449	7397	9041
450	7412	9023
451	7427	9005
452	7442	8987
453	7458	8969
454	7472	8950
455	7486	8931
456	7500	8911
457	7514	8892
458	7529	8874
459	7544	8857
460	7560	8840
461	7576	8822
462	7594	8808
463	7610	8791
464	7627	8775
465	7642	8758
466	7658	8741
467	7674	8724
468	7690	8706
469	7706	8689
470	7721	8671
471	7735	8653
472	7750	8635
473	7764	8616
474	7778	8597
475	7793	8579
476	7810	8563
477	7826	8546
478	7840	8528
479	7854	8509
480	7869	8491
481	7886	8475
482	7901	8457
483	7915	8439
484	7930	8421
485	7943	8401
486	7956	8381
487	7970	8362
488	7986	8345
489	8001	8328
490	8018	8312
491	8035	8296
492	8050	8278
493	8066	8262
494	8081	8244
495	8096	8226
496	8111	8209
497	8126	8191
498	8140	8173
499	8153	8153
500	8167	8134
501	8181	8116
502	8198	8100
503	8213	8083
504	8231	8068
505	8247	8051
506	8263	8035
507	8278	8017
508	8294	8000
509	8308	7982
510	8323	7964
511	8336	7945
512	8349	7926
513	8363	7908
514	8378	7890
515	8394	7873
516	8409	7855
517	8424	7839
518	8442	7824
519	8458	7807
520	8474	7791
521	8490	7774
522	8506	7758
523	8521	7741
524	8537	7724
525	8552	7706
526	8567	7689
527	8580	7670
528	8593	7650
529	8609	7634
530	8623	7616
531	8637	7598
532	8696	7619
533	8725	7613
534	8750	7605
535	8767	7589
536	8782	7572
537	8796	7554
538	8811	7536
539	8824	7517
540	8837	7498
541	8852	7480
542	8869	7465
543	8884	7447
544	8899	7430
545	8915	7413
546	8930	7395
547	8945	7378
548	8959	7360
549	8972	7341
550	8985	7322
551	8998	7303
552	9013	7285
553	9031	7270
554	9045	7252
555	9062	7236
556	9079	7221
557	9096	7205
558	9111	7188
559	9127	7171
560	9142	7154
561	9158	7137
562	9173	7120
563	9187	7102
564	9201	7084
565	9214	7065
566	9227	7047
567	9243	7030
568	9259	7013
569	9275	6997
570	9292	6981
571	9308	6964
572	9322	6947
573	9340	6931
574	9355	6914
575	9369	6897
576	9384	6879
577	9398	6861
578	9411	6843
579	9425	6825
580	9440	6807
581	9454	6790
582	9470	6773
583	9489	6759
584	9505	6743
585	9522	6727
586	9537	6710
587	9552	6693
588	9567	6676
589	9583	6659
590	9598	6642
591	9613	6625
592	9628	6608
593	9644	6591
594	9657	6573
595	9670	6555
596	9684	6537
597	9701	6521
598	9715	6504
599	9731	6487
600	9747	6471
601	9763	6454
602	9778	6438
603	9793	6420
604	9808	6404
605	9823	6387
606	9837	6369
607	9851	6351
608	9866	6334
609	9880	6317
610	9898	6301
611	9913	6285
612	9928	6268
613	9943	6251
614	9960	6235
615	9974	6218
616	9989	6200
617	10004	6183
618	10019	6166
619	10033	6149
620	10047	6131
621	10062	6114
622	10076	6097
623	10094	6082
624	10108	6065
625	10123	6048
626	10138	6031
627	10154	6015
628	10169	5998
629	10184	5981
630	10199	5964
631	10211	5946
632	10224	5928
633	10238	5910
634	10254	5894
635	10269	5877
636	10286	5861
637	10304	5846
638	10321	5831
639	10335	5813
640	10353	5798
641	10368	5781
642	10383	5765
643	10398	5748
644	10414	5731
645	10428	5714
646	10443	5697
647	10455	5679
648	10471	5663
649	10485	5646
650	10503	5630
651	10518	5614
652	10534	5598
653	10548	5580
654	10577	5571
655	10594	5555
656	10609	5538
657	10624	5522
658	10639	5505
659	10651	5487
660	10665	5469
661	10680	5453
662	10695	5436
663	10714	5421
664	10729	5405
665	10744	5388
666	10760	5372
667	10778	5356
668	10792	5339
669	10808	5323
670	10822	5306
671	10837	5289
672	10852	5272
673	10866	5255
674	10879	5238
675	10894	5221
676	10909	5205
677	10927	5189
678	10942	5173
679	10957	5156
680	10973	5140
681	10989	5124
682	11005	5107
683	11020	5091
684	11036	5075
685	11052	5059
686	11068	5042
687	11083	5026
688	11098	5009
689	11112	4992
690	11126	4975
691	11141	4958
692	11156	4942
693	11173	4926
694	11187	4909
695	11201	4892
696	11216	4875
697	11231	4859
698	11247	4843
699	11261	4826
700	11276	4809
701	11290	4792
702	11303	4775
703	11317	4758
704	11332	4741
705	11349	4726
706	11365	4710
707	11381	4693
708	11396	4677
709	11410	4660
710	11425	4644
711	11441	4627
712	11455	4611
713	11469	4594
714	11482	4576
715	11497	4560
716	11511	4543
717	11526	4526
718	11542	4510
719	11560	4495
720	11576	4479
721	11591	4463
722	11607	4447
723	11624	4431
724	11638	4414
725	11653	4398
726	11669	4382
727	11685	4365
728	11700	4349
729	11714	4332
730	11727	4315
731	11741	4298
732	11755	4282
733	11772	4266
734	11788	4250
735	11804	4234
736	11819	4217
737	11834	4201
738	11850	4185
739	11865	4168
740	11880	4152
741	11894	4135
742	11907	4118
743	11922	4102
744	11936	4085
745	11951	4069
746	11968	4053
747	11986	4038
748	12002	4022
749	12018	4006
750	12033	3989
751	12048	3973
752	12063	3956
753	12077	3940
754	12092	3924
755	12107	3907
756	12122	3891
757	12135	3874
758	12149	3857
759	12164	3841
760	12182	3825
761	12198	3809
762	12212	3793
763	12228	3777
764	12243	3761
765	12259	3745
766	12276	3729
767	12291	3713
768	12307	3697
769	12323	3681
770	12340	3665
771	12355	3649
772	12371	3632
773	12389	3617
774	12406	3601
775	12423	3586
776	12439	3570
777	12454	3553
778	12471	3537
779	12486	3521
780	12502	3505
781	12517	3489
782	12532	3473
783	12546	3456
784	12559	3439
785	12573	3423
786	12588	3407
787	12606	3391
788	12622	3375
789	12637	3359
790	12652	3343
791	12667	3326
792	12683	3310
793	12699	3294
794	12714	3278
795	12729	3262
796	12744	3246
797	12759	3229
798	12772	3213
799	12786	3196
800	12800	3180
801	12818	3164
