iter	Logloss
0	0.6561672154
1	0.6266708546
2	0.5977307515
3	0.5703043058
4	0.5477277593
5	0.5220064455
6	0.5023469231
7	0.4798430925
8	0.4581990901
9	0.443818191
10	0.4275702977
11	0.4141687514
12	0.4013047834
13	0.3876554299
14	0.3767459917
15	0.3671183123
16	0.3576907442
17	0.3471372686
18	0.3384900086
19	0.3293024019
20	0.3221539925
21	0.3142959973
22	0.3066356017
23	0.2987420963
24	0.2924912324
25	0.2876933798
26	0.2815459594
27	0.2780736714
28	0.2736082631
29	0.2695724805
30	0.2652036881
31	0.2610960506
32	0.2569530445
33	0.253954823
34	0.2501693778
35	0.2453997776
36	0.2421048192
37	0.2395733453
38	0.2367733367
39	0.2346743869
40	0.2327317583
41	0.2309334606
42	0.2285119919
43	0.2255429896
44	0.2231771243
45	0.2211518814
46	0.2196069344
47	0.2164258012
48	0.2143227757
49	0.2129346269
50	0.2112916836
51	0.2095438629
52	0.2077495389
53	0.2062198436
54	0.20425733
55	0.2030278997
56	0.2021890456
57	0.1998015767
58	0.1978727811
59	0.1968074376
60	0.1952531725
61	0.1943949497
62	0.1923767681
63	0.1905599543
64	0.1893431075
65	0.1876891043
66	0.1867892669
67	0.1858735239
68	0.1850282451
69	0.1839204502
70	0.1830214282
71	0.1811693815
72	0.1804463148
73	0.1791805247
74	0.178218238
75	0.1773775028
76	0.17663966
77	0.1752711615
78	0.1741602429
79	0.1728977769
80	0.1723177671
81	0.171295424
82	0.1704828102
83	0.1699316007
84	0.1693895869
85	0.168908191
86	0.1680015545
87	0.1674863258
88	0.166729386
89	0.1661277427
90	0.165604354
91	0.164519447
92	0.1639463036
93	0.1633894995
94	0.1627164857
95	0.1622078839
96	0.1613790503
97	0.1609667105
98	0.159564351
99	0.1591507078
100	0.1580154274
101	0.1571827701
102	0.1563480258
103	0.1559954858
104	0.1554961038
105	0.1547653202
106	0.1544335702
107	0.1540444856
108	0.1535937713
109	0.1528429054
110	0.1521515614
111	0.1516456694
112	0.1509586165
113	0.1500761396
114	0.1495654219
115	0.1489578754
116	0.1486272401
117	0.1478085905
118	0.1471037056
119	0.1465927427
120	0.146107813
121	0.1456829045
122	0.1451412465
123	0.1446586406
124	0.1442557668
125	0.14380011
126	0.1431426562
127	0.1426478035
128	0.142143502
129	0.1413512897
130	0.1409869507
131	0.1404365963
132	0.1401286447
133	0.1396909219
134	0.1391291322
135	0.1385992243
136	0.1381560127
137	0.1376633559
138	0.1372865175
139	0.1369929895
140	0.1366304501
141	0.1362337666
142	0.1359366719
143	0.1351294881
144	0.134797402
145	0.134318563
146	0.1339716515
147	0.1336300894
148	0.1333082505
149	0.1330573381
150	0.1326734201
151	0.132141019
152	0.1314035017
153	0.1311696298
154	0.1307673999
155	0.130316487
156	0.1300117065
157	0.1294944224
158	0.1292671714
159	0.1288275748
160	0.1285321989
161	0.1283031533
162	0.1280251546
163	0.1276170856
164	0.1271671965
165	0.1267612507
166	0.126327351
167	0.1258410298
168	0.1253269621
169	0.1249360861
170	0.1246045825
171	0.1242077114
172	0.1239813926
173	0.1237888038
174	0.1235157067
175	0.1233748355
176	0.1231267417
177	0.1225405203
178	0.1222728216
179	0.1217432471
180	0.1214703787
181	0.1213274252
182	0.1211751573
183	0.121043346
184	0.1208166565
185	0.1206751337
186	0.1204481537
187	0.120002623
188	0.1196436411
189	0.1191289052
190	0.1188506503
191	0.1185583693
192	0.1183616398
193	0.118110986
194	0.1179112551
195	0.1174653897
196	0.1172426479
197	0.1168782492
198	0.1164931414
199	0.1162370374
200	0.1160541295
201	0.1158791018
202	0.1156217231
203	0.1152873289
204	0.1150979756
205	0.1148381271
206	0.1145768768
207	0.1142984767
208	0.114130649
209	0.1136806232
210	0.1134754485
211	0.1132390831
212	0.1129442736
213	0.1127033132
214	0.1125094921
215	0.1121346271
216	0.1119235383
217	0.1116845746
218	0.1114753772
219	0.1111757702
220	0.1109348993
221	0.1105468833
222	0.1103897547
223	0.1101787291
224	0.1100827891
225	0.1098560879
226	0.1095399034
227	0.1091777267
228	0.1089696135
229	0.1088714568
230	0.1086007931
231	0.1084271967
232	0.1082309919
233	0.1081062003
234	0.107940577
235	0.1076094641
236	0.1073042012
237	0.1071277962
