iter	Passed	Remaining
412	3573	5079
413	3588	5078
414	3602	5077
415	3613	5073
416	3621	5063
417	3632	5057
418	3646	5055
419	3655	5047
420	3665	5041
421	3676	5036
422	3687	5030
423	3700	5026
424	3712	5022
425	3725	5019
426	3738	5016
427	3753	5016
428	3764	5011
429	3774	5003
430	3810	5031
431	3850	5063
432	3970	5199
433	3980	5191
434	3989	5181
435	4005	5181
436	4020	5179
437	4054	5201
438	4065	5194
439	4075	5187
440	4087	5180
441	4103	5179
442	4116	5175
443	4128	5169
444	4139	5162
445	4149	5154
446	4159	5145
447	4167	5134
448	4182	5132
449	4196	5129
450	4204	5118
451	4213	5108
452	4227	5104
453	4243	5103
454	4269	5114
455	4282	5109
456	4298	5107
457	4308	5098
458	4320	5092
459	4331	5084
460	4344	5079
461	4360	5077
462	4373	5072
463	4382	5062
464	4389	5050
465	4399	5041
466	4407	5030
467	4416	5020
468	4424	5008
469	4437	5003
470	4445	4992
471	4457	4986
472	4474	4985
473	4488	4980
474	4502	4976
475	4513	4968
476	4524	4960
477	4539	4957
478	4549	4947
479	4565	4946
480	4574	4935
481	4584	4926
482	4597	4920
483	4604	4909
484	4613	4899
485	4620	4886
486	4628	4876
487	4637	4865
488	4645	4853
489	4651	4841
490	4658	4829
491	4664	4816
492	4674	4807
493	4682	4795
494	4689	4784
495	4696	4772
496	4705	4762
497	4712	4750
498	4722	4741
499	4733	4733
500	4742	4723
501	4751	4713
502	4759	4702
503	4770	4694
504	4780	4685
505	4790	4677
506	4801	4668
507	4808	4657
508	4825	4655
509	4838	4648
510	4857	4648
511	4881	4652
512	4894	4646
513	4910	4643
514	4919	4632
515	4933	4627
516	4942	4617
517	4951	4607
518	4959	4596
519	4968	4586
520	4979	4578
521	4986	4566
522	4997	4557
523	5004	4546
524	5012	4535
525	5023	4526
526	5029	4514
527	5040	4506
528	5047	4493
529	5054	4482
530	5062	4471
531	5069	4459
532	5077	4449
533	5086	4439
534	5101	4433
535	5109	4423
536	5121	4415
537	5129	4404
538	5137	4394
539	5144	4382
540	5151	4370
541	5158	4359
542	5167	4348
543	5174	4337
544	5185	4329
545	5196	4320
546	5204	4310
547	5218	4304
548	5242	4306
549	5252	4297
550	5260	4286
551	5269	4276
552	5280	4268
553	5288	4257
554	5301	4250
555	5310	4240
556	5318	4230
557	5327	4220
558	5334	4208
559	5343	4198
560	5350	4187
561	5360	4177
562	5367	4165
563	5377	4157
564	5384	4145
565	5393	4135
566	5400	4124
567	5410	4115
568	5420	4105
569	5427	4094
570	5435	4083
571	5442	4072
572	5450	4061
573	5460	4052
574	5470	4043
575	5477	4032
576	5487	4022
577	5496	4013
578	5504	4002
579	5512	3992
580	5520	3981
581	5530	3971
582	5538	3961
583	5545	3949
584	5552	3938
585	5558	3927
586	5568	3917
587	5574	3905
588	5582	3895
589	5589	3883
590	5597	3873
591	5604	3862
592	5612	3851
593	5618	3840
594	5625	3829
595	5632	3817
596	5639	3806
597	5646	3795
598	5653	3785
599	5661	3774
600	5667	3762
601	5674	3751
602	5681	3740
603	5689	3730
604	5697	3719
605	5707	3710
606	5715	3700
607	5724	3691
608	5732	3680
609	5740	3670
610	5746	3658
611	5753	3647
612	5760	3636
613	5766	3625
614	5774	3614
615	5780	3603
616	5788	3593
617	5796	3582
618	5804	3572
619	5812	3562
620	5819	3551
621	5826	3540
622	5833	3530
623	5840	3519
624	5846	3508
625	5855	3498
626	5861	3486
627	5869	3476
628	5876	3465
629	5885	3456
630	5892	3445
631	5901	3436
632	5908	3425
633	5919	3417
634	5926	3406
635	5935	3396
636	5941	3385
637	5949	3375
638	5956	3365
639	5964	3355
640	5971	3344
641	5978	3333
642	5985	3323
643	5991	3312
644	6000	3302
645	6008	3292
646	6016	3282
647	6024	3272
648	6031	3262
649	6038	3251
650	6045	3241
651	6052	3230
652	6060	3220
653	6066	3209
654	6077	3201
655	6084	3190
656	6093	3181
657	6101	3171
658	6111	3162
659	6119	3152
660	6128	3143
661	6137	3133
662	6145	3123
663	6155	3114
664	6162	3104
665	6170	3094
666	6178	3084
667	6187	3075
668	6195	3065
669	6203	3055
670	6210	3045
671	6219	3035
672	6226	3025
673	6233	3015
674	6240	3004
675	6247	2994
676	6254	2983
677	6261	2973
678	6269	2963
679	6276	2953
680	6284	2943
681	6292	2934
682	6300	2924
683	6309	2914
684	6317	2904
685	6324	2894
686	6332	2884
687	6339	2874
688	6346	2864
689	6353	2854
690	6362	2845
691	6368	2834
692	6375	2824
693	6381	2813
694	6388	2803
695	6395	2793
696	6402	2783
697	6410	2773
698	6418	2763
699	6443	2761
700	6449	2750
701	6456	2740
702	6463	2730
703	6471	2720
704	6478	2710
705	6484	2700
706	6492	2690
707	6499	2680
708	6509	2671
709	6517	2662
710	6528	2653
711	6542	2646
712	6551	2636
713	6559	2627
714	6567	2617
715	6575	2608
716	6583	2598
717	6591	2588
718	6598	2578
719	6606	2569
720	6612	2558
721	6619	2548
722	6625	2538
723	6632	2528
724	6638	2518
725	6648	2509
726	6654	2499
727	6661	2489
728	6668	2478
729	6674	2468
730	6682	2458
731	6688	2448
732	6697	2439
733	6704	2429
734	6716	2421
735	6724	2411
736	6731	2402
737	6738	2392
738	6745	2382
739	6752	2372
740	6760	2363
741	6767	2353
742	6777	2344
743	6784	2334
744	6792	2325
745	6799	2315
746	6807	2305
747	6815	2296
748	6822	2286
749	6828	2276
750	6835	2266
751	6842	2256
752	6848	2246
753	6855	2236
754	6861	2226
755	6868	2216
756	6875	2206
757	6881	2196
758	6888	2187
759	6895	2177
760	6904	2168
761	6911	2158
762	6921	2149
763	6930	2140
764	6937	2131
765	6944	2121
766	6953	2112
767	6959	2102
768	6967	2093
769	6974	2083
770	6983	2074
771	6990	2064
772	6997	2054
773	7004	2045
774	7012	2035
775	7019	2026
776	7026	2016
777	7033	2006
778	7039	1997
779	7048	1987
780	7054	1978
781	7062	1968
782	7069	1959
783	7077	1949
784	7083	1940
785	7092	1930
786	7102	1922
787	7113	1913
788	7122	1904
789	7129	1895
790	7137	1885
791	7145	1876
792	7151	1866
793	7159	1857
794	7165	1847
795	7173	1838
796	7180	1828
797	7187	1819
798	7194	1809
799	7202	1800
800	7209	1791
801	7216	1781
802	7224	1772
803	7231	1762
804	7239	1753
805	7245	1743
806	7253	1734
807	7261	1725
808	7271	1716
809	7277	1707
810	7285	1697
811	7293	1688
812	7301	1679
813	7308	1669
814	7319	1661
815	7328	1652
816	7335	1642
817	7341	1633
818	7349	1624
819	7355	1614
820	7362	1605
821	7368	1595
822	7375	1586
823	7382	1576
824	7388	1567
825	7394	1557
826	7401	1548
827	7409	1539
828	7417	1529
829	7424	1520
830	7431	1511
831	7437	1501
832	7444	1492
833	7451	1483
834	7458	1473
835	7464	1464
836	7473	1455
837	7481	1446
838	7490	1437
839	7497	1428
840	7506	1419
841	7514	1410
842	7522	1400
843	7529	1391
844	7537	1382
845	7543	1373
846	7551	1364
847	7558	1354
848	7565	1345
849	7573	1336
850	7579	1327
851	7587	1317
852	7594	1308
853	7602	1299
854	7609	1290
855	7616	1281
856	7624	1272
857	7632	1263
858	7639	1253
859	7649	1245
860	7656	1236
861	7662	1226
862	7668	1217
863	7675	1208
864	7682	1199
865	7691	1190
866	7701	1181
867	7709	1172
868	7718	1163
869	7726	1154
870	7734	1145
871	7741	1136
872	7748	1127
873	7755	1118
874	7762	1108
875	7768	1099
876	7775	1090
877	7781	1081
878	7787	1072
879	7794	1062
880	7800	1053
881	7807	1044
882	7817	1035
883	7828	1027
884	7835	1018
885	7842	1009
886	7848	999
887	7856	990
888	7862	981
889	7873	973
890	7879	963
891	7887	954
892	7894	945
893	7901	936
894	7908	927
895	7916	918
896	7924	909
897	7932	901
898	7939	892
899	7947	883
900	7954	873
901	7963	865
902	7970	856
903	7977	847
904	7984	838
905	7991	829
906	7999	820
907	8006	811
908	8014	802
909	8020	793
910	8028	784
911	8035	775
912	8042	766
913	8049	757
914	8056	748
915	8063	739
916	8070	730
917	8078	721
918	8084	712
919	8091	703
920	8098	694
921	8106	685
922	8114	676
923	8123	668
924	8130	659
925	8138	650
926	8145	641
927	8154	632
928	8164	623
929	8172	615
930	8179	606
931	8187	597
932	8193	588
933	8201	579
934	8209	570
935	8216	561
936	8223	552
937	8230	544
938	8239	535
939	8246	526
940	8256	517
941	8264	508
942	8271	499
943	8279	491
944	8286	482
945	8293	473
946	8303	464
947	8311	455
948	8319	447
949	8328	438
950	8336	429
951	8342	420
952	8350	411
953	8356	402
954	8363	394
955	8369	385
956	8377	376
957	8384	367
958	8391	358
959	8399	349
960	8406	341
961	8414	332
962	8421	323
963	8428	314
964	8435	305
965	8443	297
966	8449	288
967	8456	279
968	8462	270
969	8468	261
970	8475	253
971	8481	244
972	8488	235
973	8495	226
974	8503	218
975	8513	209
976	8521	200
977	8528	191
978	8537	183
979	8545	174
980	8552	165
981	8559	156
982	8566	148
983	8574	139
984	8582	130
985	8590	121
986	8597	113
987	8604	104
988	8611	95
989	8619	87
990	8624	78
991	8632	69
992	8638	60
993	8645	52
994	8651	43
995	8658	34
996	8665	26
997	8671	17
998	8678	8
999	8685	0
