iter	Logloss
0	0.6852325676
1	0.677153293
2	0.6704283843
3	0.6632000684
4	0.654719379
5	0.6482202794
6	0.641312496
7	0.6341504043
8	0.6283417838
9	0.6225854534
10	0.617370206
11	0.6130043064
12	0.6069780769
13	0.6025557428
14	0.5980249971
15	0.5932456045
16	0.5882929331
17	0.5840444274
18	0.5781927023
19	0.5741420244
20	0.5703112908
21	0.5668162465
22	0.5626297414
23	0.5571686779
24	0.5535306481
25	0.5491001016
26	0.5449709901
27	0.5404251007
28	0.5375815494
29	0.5341742536
30	0.5312571152
31	0.5284074806
32	0.5255087812
33	0.5207627927
34	0.518223163
35	0.5154725776
36	0.5120693806
37	0.5087743776
38	0.5048768284
39	0.5011151087
40	0.4987231586
41	0.496577366
42	0.4942490259
43	0.4917088971
44	0.4889386064
45	0.4858939689
46	0.4836821865
47	0.4810934934
48	0.4791099678
49	0.4766742282
50	0.4745611495
51	0.4723832652
52	0.470626282
53	0.4682735169
54	0.4661538295
55	0.4639043277
56	0.4605048582
57	0.4591545993
58	0.4578377852
59	0.4553110629
60	0.4531188241
61	0.4511379601
62	0.4496899402
63	0.4479086041
64	0.4455884426
65	0.4440396476
66	0.4421883993
67	0.4405054394
68	0.4388921542
69	0.4378072934
70	0.4365548431
71	0.4352149339
72	0.4340412064
73	0.4324992288
74	0.4311569556
75	0.429595723
76	0.4285455038
77	0.427091008
78	0.4255346803
79	0.4236256566
80	0.4226710564
81	0.4209654638
82	0.4198316684
83	0.4189175983
84	0.4180745246
85	0.4163468287
86	0.4154235184
87	0.4139428131
88	0.4133786641
89	0.4119209862
90	0.4104639874
91	0.4091568873
92	0.4081189935
93	0.4073457065
94	0.4062084771
95	0.4048586495
96	0.4036238825
97	0.4028734742
98	0.4020885101
99	0.4012668568
100	0.4004488791
101	0.3993550483
102	0.3983095493
103	0.3974029661
104	0.3963941046
105	0.3953683984
106	0.3938913813
107	0.3930353435
108	0.3921635403
109	0.3910823451
110	0.3902006333
111	0.3891751118
112	0.3885531943
113	0.387676368
114	0.387071292
115	0.3861170205
116	0.3853620398
117	0.3846007412
118	0.3837796521
119	0.3834003989
120	0.3829832069
121	0.382257662
122	0.3817873419
123	0.380379181
124	0.3796687382
125	0.3789112053
126	0.378349755
127	0.3775711488
128	0.376888239
129	0.3765321877
130	0.3755291399
131	0.3747965596
132	0.373991309
133	0.3731738452
134	0.3720641383
135	0.3709418449
136	0.3703008254
137	0.3694429923
138	0.3685031551
139	0.3680657174
140	0.3677186192
141	0.3670868993
142	0.366064529
143	0.3655718903
144	0.365004949
145	0.3643971083
146	0.3634803646
147	0.3629346448
148	0.3625981563
149	0.3616074866
150	0.3608920089
151	0.360332581
152	0.3599012269
153	0.3591301544
154	0.3586110766
155	0.3579448951
156	0.3571607432
157	0.3562815254
158	0.355381273
159	0.3549473145
160	0.3544286946
161	0.3537963447
162	0.3528481506
163	0.351977224
164	0.3511294397
165	0.3506871989
166	0.3499299022
167	0.3495897116
168	0.3490414844
169	0.3482603178
170	0.3469532884
171	0.3463725403
172	0.3458144959
173	0.3454544005
174	0.3451093507
175	0.3442658718
176	0.3434872204
177	0.3428747683
178	0.3423323338
179	0.3419269712
180	0.3413677409
181	0.3409316173
182	0.3402713871
